Name,V,B-V,(V-I)e,vsini,Nobs,Baseline(days),Prot,e_Prot,Pprev,Np,LogLxLbol,Amplitude,nLi,TIC,GaiaDR2,SimbadName
B134,10.66,0.95,1.0,10,61,64,6.8,0.3,,0.11,-3.69,0.025,,391252409,5239837389332955520,IC 2602 134
W79,11.57,0.83,0.85,8,61,37,6.2,0.5,,0.117,,0.02,,390359863,5239723525484923904,Cl* IC 2602 W79
R15,11.75,0.93,1.06,7,41,37,3.6,0.2,,0.059,-2.96,0.01,2.56,460651946,5251817878512713472,[RSP95] 15
R21,9.5,0.51,0.62,23,37,37,,,,,-3.83,,3.32,460796730,5251760463362641408,[RSP95] 21
R24A,14.61,1.43,1.86,34,93,64,1.25,0.01,,0.013,-3.07,0.06,,460823191,5251802519709841280,[RSP95] 24
R26,15.14,1.54,2.15,<6,93,64,5.7,0.3,,0.056,-3.57,0.05,,460823505,5251805715165696384,[RSP95] 26
R27,14.35,1.5,1.8,10,57,64,4.5,0.2,,0.045,-3.57,0.035,,460951259,5239746271633131904,[RSP95] 27
R29,12.73,1.11,1.19,22,77,64,2.21,0.04,2.19,0.031,-3.21,0.05,1.76,460950389,5239758155778687360,[RSP95] 29
R31,15.08,1.59,2.24,35,83,64,0.49,0.01,,0.005,-2.94,0.02,,460960270,5239757262427321728,[RSP95] 31
R32,15.06,1.63,2.16,9,39,51,4.0,0.2,,0.035,-3.16,0.075,,460982877,5251903880939228544,[RSP95] 32
R38,15.72,1.53,2.5,48,92,64,,,,,-3.1,,,461123851,5239770048573745152,[RSP95] 38
R43,12.14,0.95,1.1,50,42,53,0.78,0.01,0.78,0.013,-3.01,0.035,3.17,464902649,5239897931195331328,[RSP95] 43
R44,14.88,1.55,2.03,7,57,64,5.5,0.2,,0.053,-3.6,0.04,,464900632,5239935490722112256,[RSP95] 44
R50,14.75,1.56,2.08,7,80,64,6.4,0.4,,0.061,-3.19,0.02,,389987696,5239766333394663296,[RSP95] 50
R52,12.19,1.07,1.11,95,76,64,0.393,0.002,0.393,0.006,-3.33,0.07,,389987648,5239771349915805952,[RSP95] 52
R53B,15.39,1.61,2.49,100,58,53,0.41,0.01,,0.004,-3.12,0.045,,389989680,5239874639622803328,[RSP95] 53B
R56,13.64,1.43,1.6,17,88,64,4.1,0.1,,0.043,-2.99,0.055,<0.65,390358373,5239868587976272896,[RSP95] 56
R57,15.59,1.6,2.44,<6,40,37,8.7,0.9,,0.079,-3.3,0.02,,390441021,5239819835835866112,[RSP95] 57
R58,10.57,0.65,0.76,93,108,64,0.57,0.01,,0.015,-3.22,0.055,3.55,390442286,5239830143757924992,[RSP95] 58
R66,11.07,0.68,0.83,12,39,51,3.3,0.2,,0.082,-3.76,0.035,3.10,390954865,5239864331699542656,[RSP95] 66
R68,11.28,0.89,1.09,48,42,37,,,0.99,,-3.03,,2.90,390852244,5239803029594601088,[RSP95] 68
R70,10.92,0.69,0.71,11,63,64,4.3,0.1,,0.107,-4.44,0.02,2.95,390953365,5239851962193200896,[RSP95] 70
R72,10.89,0.64,0.76,49,65,63,1.05,0.02,,0.029,-3.01,0.035,3.41,390850870,5239701569592516480,[RSP95] 72
R77,14.12,1.47,1.72,<7,70,64,10.1,0.9,,0.104,-3.66,0.03,,391247092,5241379802320740352,[RSP95] 77
R83,10.7,0.62,0.78,30,135,64,1.67,0.01,,0.049,-3.55,0.035,3.45,391423247,5239849900609754880,[RSP95] 83
R85,9.87,0.52,0.58,45,110,64,,,,,-4.74,,3.17,391422697,5239848453168695040,[RSP95] 85
R88A,12.71,1.2,1.35,200,135,64,0.204,0.001,0.204,0.003,-3.54,0.04,,391423153,5241350287303624832,[RSP95] 88
R89,12.97,1.24,1.35,14,51,37,4.8,0.3,4.47,0.059,-3.49,0.065,1.60,391426355,5241398562739279104,[RSP95] 89
R92,10.26,0.67,0.78,14,34,37,2.0,0.1,,0.05,-3.72,0.015,3.12,464936356,5241158353812624256,[RSP95] 92
R93,13.79,1.37,1.62,8,53,64,6.7,0.4,,0.075,-3.6,0.025,,464935253,5239653255497968384,[RSP95] 93
R94,13.33,1.39,1.73,23,48,64,2.6,0.1,,0.028,-3.56,0.035,<0.87,465074869,5239629585967995392,[RSP95] 94
R95A,11.73,0.87,0.97,12,51,51,1.2,0.02,1.23,0.021,-2.9,0.04,3.23,465075473,5239626420542800512,[RSP95] 95A
R96,12.94,1.25,1.37,17,36,37,1.82,0.05,1.81,0.022,-3.18,0.05,,465130721,5241192606139626112,[RSP95] 96
